
   # PLAYER                       :  RATING  ERROR     POINTS    PLAYED   (%)  CFS(%)        W       D        L  D(%)
 196 weights_run3_714411.pb.gz    :    2494     10     2865.0      6000  47.8      52     2719     292     2989   4.9
 197 weights_run3_714424.pb.gz    :    2493     11     2954.0      6000  49.2      50     2854     200     2946   3.3
 198 weights_run3_714654.pb.gz    :    2493      9     2796.0      6000  46.6      51     2660     272     3068   4.5
 199 weights_run3_714436.pb.gz    :    2493     10     2920.5      6000  48.7      51     2809     223     2968   3.7
 200 weights_run3_714415.pb.gz    :    2493     11     2805.0      6000  46.8      51     2716     178     3106   3.0
 201 weights_run3_714531.pb.gz    :    2493     10     2885.5      6000  48.1      51     2767     237     2996   4.0
 202 weights_run3_714619.pb.gz    :    2493     11     2834.0      6000  47.2      50     2733     202     3065   3.4
 203 weights_run3_714603.pb.gz    :    2493      8     2851.5      6000  47.5      53     2749     205     3046   3.4
 204 weights_run3_714591.pb.gz    :    2492     11     2827.5      6000  47.1      51     2727     201     3072   3.4
 205 weights_run3_714532.pb.gz    :    2492     12     2865.5      6000  47.8      50     2755     221     3024   3.7
 206 weights_run3_714686.pb.gz    :    2492     10     2832.0      6000  47.2      50     2716     232     3052   3.9
 207 weights_run3_714481.pb.gz    :    2492     10     2814.5      6000  46.9      51     2710     209     3081   3.5
 208 weights_run3_714533.pb.gz    :    2492     10     2842.0      6000  47.4      50     2737     210     3053   3.5
 209 weights_run3_714449.pb.gz    :    2492     10     2783.0      6000  46.4      51     2652     262     3086   4.4
 210 weights_run3_714407.pb.gz    :    2492     10     2848.0      6000  47.5      50     2735     226     3039   3.8
 211 weights_run3_714607.pb.gz    :    2492     11     2826.5      6000  47.1      50     2720     213     3067   3.5
 212 weights_run3_714671.pb.gz    :    2492     11     2863.5      6000  47.7      50     2768     191     3041   3.2
 213 weights_run3_714406.pb.gz    :    2492     10     2899.5      6000  48.3      52     2773     253     2974   4.2
 214 weights_run3_714643.pb.gz    :    2491     10     2899.5      6000  48.3      52     2800     199     3001   3.3
 215 weights_run3_714398.pb.gz    :    2491     10     2857.0      6000  47.6      51     2766     182     3052   3.0
 216 weights_run3_714668.pb.gz    :    2491     10     2849.5      6000  47.5      50     2728     243     3029   4.0
 217 weights_run3_714360.pb.gz    :    2491     12     2897.0      6000  48.3      50     2779     236     2985   3.9
 218 weights_run3_714546.pb.gz    :    2491     11     2822.5      6000  47.0      51     2703     239     3058   4.0
 219 weights_run3_714359.pb.gz    :    2491     10     2877.5      6000  48.0      51     2761     233     3006   3.9
 220 weights_run3_714471.pb.gz    :    2490     11     2880.0      6000  48.0      50     2761     238     3001   4.0
 221 weights_run3_714416.pb.gz    :    2490     10     2883.5      6000  48.1      50     2773     221     3006   3.7
 222 weights_run3_714538.pb.gz    :    2490     11     2853.5      6000  47.6      50     2760     187     3053   3.1
