Head to head statistics:

   1) baseline.pb.gz            2539 :  12748000 (+9614667,=286202,-2847131),  76.5 %

      vs.                             :     games (       +,      =,       -),   (%) :   Diff,   SD, CFS (%)
      weights_run3_714649.pb.gz       :      2000 (    1094,     59,     847),  56.2 :    +37,    5,  100.0
      weights_run3_714636.pb.gz       :      2000 (    1064,     38,     898),  54.1 :    +38,    6,  100.0
      weights_run3_714412.pb.gz       :      2000 (    1138,     42,     820),  58.0 :    +38,    5,  100.0
      weights_run3_714601.pb.gz       :      2000 (    1111,     30,     859),  56.3 :    +38,    6,  100.0
      weights_run3_714536.pb.gz       :      2000 (    1098,     33,     869),  55.7 :    +38,    5,  100.0
      weights_run3_714462.pb.gz       :      2000 (    1112,     79,     809),  57.6 :    +38,    4,  100.0
      weights_run3_714598.pb.gz       :      2000 (    1119,     40,     841),  57.0 :    +38,    5,  100.0
      weights_run3_714453.pb.gz       :      2000 (    1071,     56,     873),  55.0 :    +38,    5,  100.0
      weights_run3_714505.pb.gz       :      2000 (    1085,     28,     887),  55.0 :    +38,    5,  100.0
      weights_run3_714395.pb.gz       :      2000 (    1069,     45,     886),  54.6 :    +38,    5,  100.0
      weights_run3_714534.pb.gz       :      2000 (    1096,     30,     874),  55.5 :    +38,    5,  100.0
      weights_run3_714608.pb.gz       :      2000 (    1146,     39,     815),  58.3 :    +38,    5,  100.0
      weights_run3_714675.pb.gz       :      2000 (    1088,     32,     880),  55.2 :    +39,    5,  100.0
      weights_run3_714377.pb.gz       :      2000 (    1023,     77,     900),  53.1 :    +39,    5,  100.0
      weights_run3_714494.pb.gz       :      2000 (    1100,     31,     869),  55.8 :    +39,    6,  100.0
      weights_run3_714689.pb.gz       :      2000 (    1086,     37,     877),  55.2 :    +39,    5,  100.0
      weights_run3_714376.pb.gz       :      2000 (    1108,     35,     857),  56.3 :    +39,    5,  100.0
      weights_run3_714455.pb.gz       :      2000 (    1110,     40,     850),  56.5 :    +39,    6,  100.0
      weights_run3_714503.pb.gz       :      2000 (    1132,     54,     814),  58.0 :    +39,    6,  100.0
      weights_run3_714614.pb.gz       :      2000 (    1088,     52,     860),  55.7 :    +39,    5,  100.0
      weights_run3_714609.pb.gz       :      2000 (    1026,     39,     935),  52.3 :    +39,    5,  100.0
      weights_run3_714691.pb.gz       :      2000 (    1068,     43,     889),  54.5 :    +39,    5,  100.0
      weights_run3_714680.pb.gz       :      2000 (    1102,     26,     872),  55.8 :    +39,    5,  100.0
      weights_run3_714618.pb.gz       :      2000 (    1110,     44,     846),  56.6 :    +39,    6,  100.0
      weights_run3_714480.pb.gz       :      2000 (    1067,     29,     904),  54.1 :    +40,    5,  100.0
      weights_run3_714682.pb.gz       :      2000 (    1132,     23,     845),  57.2 :    +40,    5,  100.0
      weights_run3_714617.pb.gz       :      2000 (    1092,     44,     864),  55.7 :    +40,    6,  100.0
