Head to head statistics:

   1) baseline.pb.gz            2539 :  12748000 (+9614667,=286202,-2847131),  76.5 %

      vs.                             :     games (       +,      =,       -),   (%) :   Diff,   SD, CFS (%)

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   75,  50, 1875),   5.0 :   -479,    7,    0.0
      weights_run2_700091.pb.gz       :   2000 (  775, 320,  905),  46.8 :    -35,    7,    0.0
      weights_run2_700089.pb.gz       :   2000 (  777, 348,  875),  47.5 :    -13,    6,    1.3

5927) weights_run2_590396.pb.gz 2060 :   6000 (+1366,=1305,-3329),  33.6 %

      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   97,   65, 1838),   6.5 :   -479,    8,    0.0
      weights_run2_590397.pb.gz       :   2000 (  618,  573,  809),  45.2 :    -34,    7,    0.0
      weights_run2_590395.pb.gz       :   2000 (  651,  667,  682),  49.2 :     -2,    7,   39.1

5928) weights_run2_590085.pb.gz 2060 :   6000 (+1951,=617,-3432),  37.7 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  116,  17, 1867),   6.2 :   -479,    8,    0.0
      weights_run2_590084.pb.gz       :   2000 (  921, 252,  827),  52.4 :    +19,    7,   99.5
      weights_run2_590086.pb.gz       :   2000 (  914, 348,  738),  54.4 :    +30,    7,  100.0

5929) weights_run2_590358.pb.gz 2060 :   6000 (+1316,=1203,-3481),  32.0 %

      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  102,   55, 1843),   6.5 :   -479,    8,    0.0
      weights_run2_590357.pb.gz       :   2000 (  613,  510,  877),  43.4 :    -49,    7,    0.0
      weights_run2_590359.pb.gz       :   2000 (  601,  638,  761),  46.0 :    -23,    6,    0.0

5930) weights_run2_590174.pb.gz 2059 :   6000 (+2005,=437,-3558),  37.1 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   92,  19, 1889),   5.1 :   -480,    7,    0.0
      weights_run2_590173.pb.gz       :   2000 (  898, 271,  831),  51.7 :    +12,    7,   96.6
      weights_run2_590175.pb.gz       :   2000 ( 1015, 147,  838),  54.4 :    +23,    6,  100.0

5931) weights_run2_590387.pb.gz 2059 :   6000 (+1703,=734,-3563),  34.5 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  124,  27, 1849),   6.9 :   -480,    7,    0.0
      weights_run2_590386.pb.gz       :   2000 (  741, 415,  844),  47.4 :    -23,    6,    0.0
      weights_run2_590388.pb.gz       :   2000 (  838, 292,  870),  49.2 :     +5,    7,   75.6

5932) weights_run2_590381.pb.gz 2059 :   6000 (+1353,=1402,-3245),  34.2 %

      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   97,   57, 1846),   6.3 :   -480,    7,    0.0
      weights_run2_590380.pb.gz       :   2000 (  545,  681,  774),  44.3 :    -28,    6,    0.0
      weights_run2_590382.pb.gz       :   2000 (  711,  664,  625),  52.1 :     +4,    7,   72.4

5933) weights_run2_590353.pb.gz 2059 :   6000 (+1344,=1001,-3655),  30.7 %

      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  105,   59, 1836),   6.7 :   -480,    8,    0.0
      weights_run2_590354.pb.gz       :   2000 (  575,  468,  957),  40.5 :    -61,    7,    0.0
      weights_run2_590352.pb.gz       :   2000 (  664,  474,  862),  45.0 :    -37,    6,    0.0

5934) weights_run2_700121.pb.gz 2059 :   6000 (+1689,=784,-3527),  34.7 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   78,  40, 1882),   4.9 :   -480,    7,    0.0
      weights_run2_700120.pb.gz       :   2000 (  765, 384,  851),  47.9 :    -27,    6,    0.0
      weights_run2_700122.pb.gz       :   2000 (  846, 360,  794),  51.3 :    +13,    7,   97.8

5935) weights_run2_58195.pb.gz  2059 :   6000 (+1797,=426,-3777),  33.5 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   85,  37, 1878),   5.2 :   -480,    8,    0.0
      weights_run2_58196.pb.gz        :   2000 (  823, 249,  928),  47.4 :    -30,    7,    0.0
      weights_run2_58194.pb.gz        :   2000 (  889, 140,  971),  48.0 :     -9,    7,    8.5

5936) weights_run2_590146.pb.gz 2058 :   6000 (+1885,=572,-3543),  36.2 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   90,  13, 1897),   4.8 :   -481,    7,    0.0
      weights_run2_590147.pb.gz       :   2000 (  852, 385,  763),  52.2 :     +5,    7,   77.0
      weights_run2_590145.pb.gz       :   2000 (  943, 174,  883),  51.5 :    +13,    7,   96.5

5937) weights_run2_700076.pb.gz 2058 :   6000 (+1719,=723,-3558),  34.7 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  103,  23, 1874),   5.7 :   -481,    8,    0.0
      weights_run2_700077.pb.gz       :   2000 (  830, 342,  828),  50.0 :     -8,    6,   10.2
      weights_run2_700075.pb.gz       :   2000 (  786, 358,  856),  48.3 :     -6,    7,   20.7

5938) weights_run2_590150.pb.gz 2058 :   6000 (+1829,=844,-3327),  37.5 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   86,  53, 1861),   5.6 :   -481,    8,    0.0
      weights_run2_590151.pb.gz       :   2000 (  799, 511,  690),  52.7 :    +21,    7,   99.9
      weights_run2_590149.pb.gz       :   2000 (  944, 280,  776),  54.2 :    +25,    6,  100.0

5939) weights_run2_700080.pb.gz 2057 :   6000 (+1443,=1087,-3470),  33.1 %

      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   78,   57, 1865),   5.3 :   -482,    7,    0.0
      weights_run2_700081.pb.gz       :   2000 (  683,  526,  791),  47.3 :    -24,    6,    0.0
      weights_run2_700079.pb.gz       :   2000 (  682,  504,  814),  46.7 :    -23,    7,    0.0

5940) weights_run2_590242.pb.gz 2057 :   6000 (+1990,=427,-3583),  36.7 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   94,  31, 1875),   5.5 :   -482,    8,    0.0
      weights_run2_590243.pb.gz       :   2000 (  908, 200,  892),  50.4 :     +4,    7,   72.4
      weights_run2_590241.pb.gz       :   2000 (  988, 196,  816),  54.3 :    +25,    7,  100.0

5941) weights_run2_700061.pb.gz 2057 :   6000 (+1706,=1030,-3264),  37.0 %

      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  128,   41, 1831),   7.4 :   -482,    8,    0.0
      weights_run2_700062.pb.gz       :   2000 (  692,  464,  844),  46.2 :    -19,    7,    0.4
      weights_run2_700060.pb.gz       :   2000 (  886,  525,  589),  57.4 :    +54,    7,  100.0

5942) weights_run2_590216.pb.gz 2057 :   6000 (+2106,=466,-3428),  39.0 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  119,  33, 1848),   6.8 :   -482,    7,    0.0
      weights_run2_590217.pb.gz       :   2000 ( 1011, 128,  861),  53.8 :    +32,    6,  100.0
      weights_run2_590215.pb.gz       :   2000 (  976, 305,  719),  56.4 :    +45,    7,  100.0

5943) weights_run2_590368.pb.gz 2056 :   6000 (+1836,=881,-3283),  37.9 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  114,  17, 1869),   6.1 :   -483,    9,    0.0
      weights_run2_590369.pb.gz       :   2000 (  816, 358,  826),  49.8 :     +8,    7,   86.6
      weights_run2_590367.pb.gz       :   2000 (  906, 506,  588),  58.0 :    +47,    7,  100.0

5944) weights_run2_700110.pb.gz 2056 :   6000 (+1824,=495,-3681),  34.5 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  104,  22, 1874),   5.8 :   -483,    7,    0.0
      weights_run2_700109.pb.gz       :   2000 (  843, 215,  942),  47.5 :    -19,    7,    0.2
      weights_run2_700111.pb.gz       :   2000 (  877, 258,  865),  50.3 :     +2,    7,   62.9

5945) weights_run2_590207.pb.gz 2056 :   6000 (+1891,=1182,-2927),  41.4 %

      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  109,   31, 1860),   6.2 :   -483,    8,    0.0
      weights_run2_590206.pb.gz       :   2000 (  842,  617,  541),  57.5 :    +52,    6,  100.0
      weights_run2_590208.pb.gz       :   2000 (  940,  534,  526),  60.4 :    +77,    6,  100.0

5946) weights_run2_590239.pb.gz 2056 :   6000 (+1979,=498,-3523),  37.1 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   93,  14, 1893),   5.0 :   -483,    7,    0.0
      weights_run2_590238.pb.gz       :   2000 (  890, 197,  913),  49.4 :     +1,    6,   58.4
      weights_run2_590240.pb.gz       :   2000 (  996, 287,  717),  57.0 :    +37,    7,  100.0

5947) weights_run2_590370.pb.gz 2056 :   6000 (+1721,=874,-3405),  36.0 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  101,  40, 1859),   6.0 :   -483,    8,    0.0
      weights_run2_590371.pb.gz       :   2000 (  793, 409,  798),  49.9 :     +6,    7,   79.3
      weights_run2_590369.pb.gz       :   2000 (  827, 425,  748),  52.0 :     +8,    7,   85.8

5948) weights_run3_714030.pb.gz 2056 :   6000 (+1964,=163,-3873),  34.1 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   93,  14, 1893),   5.0 :   -483,    8,    0.0
      weights_run3_714031.pb.gz       :   2000 (  856,  77, 1067),  44.7 :    -36,    7,    0.0
      weights_run3_714029.pb.gz       :   2000 ( 1015,  72,  913),  52.5 :    +10,    7,   93.9

5949) weights_run2_590213.pb.gz 2056 :   6000 (+1721,=820,-3459),  35.5 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  101,  34, 1865),   5.9 :   -483,    8,    0.0
      weights_run2_590214.pb.gz       :   2000 (  767, 346,  887),  47.0 :    -17,    7,    0.4
      weights_run2_590212.pb.gz       :   2000 (  853, 440,  707),  53.6 :    +21,    6,  100.0

5950) weights_run2_58154.pb.gz  2055 :   6000 (+1791,=826,-3383),  36.7 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   89,  26, 1885),   5.1 :   -484,    8,    0.0
      weights_run2_58155.pb.gz        :   2000 (  812, 415,  773),  51.0 :     +1,    7,   53.4
      weights_run2_58153.pb.gz        :   2000 (  890, 385,  725),  54.1 :    +29,    6,  100.0

5951) weights_run2_58161.pb.gz  2055 :   6000 (+1916,=487,-3597),  36.0 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  103,  27, 1870),   5.8 :   -484,    7,    0.0
      weights_run2_58162.pb.gz        :   2000 (  917, 222,  861),  51.4 :     +5,    7,   78.2
      weights_run2_58160.pb.gz        :   2000 (  896, 238,  866),  50.8 :     +9,    6,   91.8

5952) weights_run2_700065.pb.gz 2055 :   6000 (+1735,=847,-3418),  36.0 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  104,  32, 1864),   6.0 :   -484,    7,    0.0
      weights_run2_700066.pb.gz       :   2000 (  731, 396,  873),  46.5 :    -19,    8,    0.7
      weights_run2_700064.pb.gz       :   2000 (  900, 419,  681),  55.5 :    +33,    7,  100.0

5953) weights_run2_700088.pb.gz 2055 :   6000 (+1541,=861,-3598),  32.9 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   88,  39, 1873),   5.4 :   -484,    7,    0.0
      weights_run2_700087.pb.gz       :   2000 (  703, 422,  875),  45.7 :    -34,    6,    0.0
      weights_run2_700089.pb.gz       :   2000 (  750, 400,  850),  47.5 :    -18,    6,    0.1

5954) weights_run2_590382.pb.gz 2055 :   6000 (+1373,=1332,-3295),  34.0 %

      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   95,   34, 1871),   5.6 :   -484,    8,    0.0
      weights_run2_590383.pb.gz       :   2000 (  653,  634,  713),  48.5 :    -24,    7,    0.0
      weights_run2_590381.pb.gz       :   2000 (  625,  664,  711),  47.9 :     -4,    7,   27.6

5955) weights_run2_58155.pb.gz  2055 :   6000 (+1717,=1036,-3247),  37.3 %

      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  114,   45, 1841),   6.8 :   -484,    7,    0.0
      weights_run2_58154.pb.gz        :   2000 (  773,  415,  812),  49.0 :     -1,    7,   46.6
      weights_run2_58156.pb.gz        :   2000 (  830,  576,  594),  55.9 :    +42,    7,  100.0

5956) weights_run2_590238.pb.gz 2055 :   6000 (+1911,=425,-3664),  35.4 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   82,  20, 1898),   4.6 :   -484,    7,    0.0
      weights_run2_590239.pb.gz       :   2000 (  913, 197,  890),  50.6 :     -1,    6,   41.6
      weights_run2_590237.pb.gz       :   2000 (  916, 208,  876),  51.0 :     +3,    6,   68.7

5957) weights_run2_700095.pb.gz 2055 :   6000 (+1700,=722,-3578),  34.4 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   68,  79, 1853),   5.4 :   -484,    7,    0.0
      weights_run2_700094.pb.gz       :   2000 (  802, 323,  875),  48.2 :    -21,    6,    0.0
      weights_run2_700096.pb.gz       :   2000 (  830, 320,  850),  49.5 :     +0,    7,   52.2

5958) weights_run2_700108.pb.gz 2055 :   6000 (+1820,=334,-3846),  33.1 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   98,  50, 1852),   6.2 :   -484,    8,    0.0
      weights_run2_700107.pb.gz       :   2000 (  860, 135, 1005),  46.4 :    -26,    8,    0.0
      weights_run2_700109.pb.gz       :   2000 (  862, 149,  989),  46.8 :    -21,    7,    0.1

5959) weights_run2_590388.pb.gz 2055 :   6000 (+1871,=731,-3398),  37.3 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   72,  21, 1907),   4.1 :   -484,    7,    0.0
      weights_run2_590387.pb.gz       :   2000 (  870, 292,  838),  50.8 :     -5,    7,   24.4
      weights_run2_590389.pb.gz       :   2000 (  929, 418,  653),  56.9 :    +46,    8,  100.0

5960) weights_run2_58165.pb.gz  2054 :   6000 (+1946,=593,-3461),  37.4 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  109,  26, 1865),   6.1 :   -485,    8,    0.0
      weights_run2_58164.pb.gz        :   2000 (  872, 241,  887),  49.6 :     +1,    7,   56.8
      weights_run2_58166.pb.gz        :   2000 (  965, 326,  709),  56.4 :    +43,    7,  100.0

5961) weights_run2_700096.pb.gz 2054 :   6000 (+1767,=586,-3647),  34.3 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   92,  36, 1872),   5.5 :   -485,    7,    0.0
      weights_run2_700097.pb.gz       :   2000 (  825, 230,  945),  47.0 :    -20,    7,    0.1
      weights_run2_700095.pb.gz       :   2000 (  850, 320,  830),  50.5 :     -0,    7,   47.8

5962) weights_run2_590343.pb.gz 2054 :   6000 (+1681,=746,-3573),  34.2 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   89,  44, 1867),   5.5 :   -485,    7,    0.0
      weights_run2_590344.pb.gz       :   2000 (  588, 385, 1027),  39.0 :    -71,    7,    0.0
      weights_run2_590342.pb.gz       :   2000 ( 1004, 317,  679),  58.1 :    +48,    7,  100.0

5963) weights_run2_700111.pb.gz 2054 :   6000 (+1837,=565,-3598),  35.3 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  111,  46, 1843),   6.7 :   -485,    8,    0.0
      weights_run2_700110.pb.gz       :   2000 (  865, 258,  877),  49.7 :     -2,    7,   37.1
      weights_run2_700112.pb.gz       :   2000 (  861, 261,  878),  49.6 :     +3,    7,   64.1

5964) weights_run2_590163.pb.gz 2054 :   6000 (+1702,=872,-3426),  35.6 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  129,  18, 1853),   6.9 :   -485,    7,    0.0
      weights_run2_590164.pb.gz       :   2000 (  782, 285,  933),  46.2 :    -26,    6,    0.0
      weights_run2_590162.pb.gz       :   2000 (  791, 569,  640),  53.8 :    +33,    6,  100.0

5965) weights_run2_700086.pb.gz 2054 :   6000 (+1447,=1207,-3346),  34.2 %

      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   74,   75, 1851),   5.6 :   -485,    7,    0.0
      weights_run2_700087.pb.gz       :   2000 (  629,  572,  799),  45.8 :    -35,    6,    0.0
      weights_run2_700085.pb.gz       :   2000 (  744,  560,  696),  51.2 :    +11,    6,   96.4

5966) weights_run2_590147.pb.gz 2053 :   6000 (+1585,=877,-3538),  33.7 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  136,  59, 1805),   8.3 :   -486,    7,    0.0
      weights_run2_590148.pb.gz       :   2000 (  686, 433,  881),  45.1 :    -28,    7,    0.0
      weights_run2_590146.pb.gz       :   2000 (  763, 385,  852),  47.8 :     -5,    7,   23.0

5967) weights_run2_58164.pb.gz  2053 :   6000 (+1878,=487,-3635),  35.4 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  123,  30, 1847),   6.9 :   -486,    9,    0.0
      weights_run2_58165.pb.gz        :   2000 (  887, 241,  872),  50.4 :     -1,    7,   43.2
      weights_run2_58163.pb.gz        :   2000 (  868, 216,  916),  48.8 :     +2,    7,   63.5

5968) weights_run2_590107.pb.gz 2053 :   6000 (+1829,=724,-3447),  36.5 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   86,  26, 1888),   5.0 :   -486,    8,    0.0
      weights_run2_590106.pb.gz       :   2000 (  865, 321,  814),  51.3 :     +7,    7,   84.3
      weights_run2_590108.pb.gz       :   2000 (  878, 377,  745),  53.3 :    +19,    7,   99.8

5969) weights_run2_590271.pb.gz 2053 :   6000 (+1736,=474,-3790),  32.9 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  113,  23, 1864),   6.2 :   -486,    7,    0.0
      weights_run2_590270.pb.gz       :   2000 (  815, 214,  971),  46.1 :    -35,    6,    0.0
      weights_run2_590272.pb.gz       :   2000 (  808, 237,  955),  46.3 :    -16,    6,    0.6

5970) weights_run2_58152.pb.gz  2053 :   6000 (+1739,=818,-3443),  35.8 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  101,  28, 1871),   5.8 :   -486,    8,    0.0
      weights_run2_58151.pb.gz        :   2000 (  778, 343,  879),  47.5 :    -16,    7,    0.7
      weights_run2_58153.pb.gz        :   2000 (  860, 447,  693),  54.2 :    +27,    7,  100.0

5971) weights_run2_590243.pb.gz 2053 :   6000 (+1865,=431,-3704),  34.7 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  113,  19, 1868),   6.1 :   -486,    7,    0.0
      weights_run2_590244.pb.gz       :   2000 (  860, 212,  928),  48.3 :     -9,    6,    6.2
      weights_run2_590242.pb.gz       :   2000 (  892, 200,  908),  49.6 :     -4,    7,   27.6

5972) weights_run2_590199.pb.gz 2052 :   6000 (+1898,=579,-3523),  36.5 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  109,  16, 1875),   5.8 :   -487,    8,    0.0
      weights_run2_590198.pb.gz       :   2000 (  873, 265,  862),  50.3 :     +6,    6,   81.6
      weights_run2_590200.pb.gz       :   2000 (  916, 298,  786),  53.3 :    +19,    6,   99.9

5973) weights_run2_590237.pb.gz 2052 :   6000 (+1814,=462,-3724),  34.1 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  106,  11, 1883),   5.6 :   -487,    7,    0.0
      weights_run2_590236.pb.gz       :   2000 (  832, 243,  925),  47.7 :    -22,    7,    0.1
      weights_run2_590238.pb.gz       :   2000 (  876, 208,  916),  49.0 :     -3,    6,   31.3

5974) weights_run2_590110.pb.gz 2052 :   6000 (+1865,=786,-3349),  37.6 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  101,  27, 1872),   5.7 :   -487,    8,    0.0
      weights_run2_590111.pb.gz       :   2000 (  897, 364,  739),  54.0 :    +22,    5,  100.0
      weights_run2_590109.pb.gz       :   2000 (  867, 395,  738),  53.2 :    +28,    7,  100.0

5975) weights_run2_700112.pb.gz 2051 :   6000 (+1898,=610,-3492),  36.7 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   78,  25, 1897),   4.5 :   -488,    8,    0.0
      weights_run2_700111.pb.gz       :   2000 (  878, 261,  861),  50.4 :     -3,    7,   35.9
      weights_run2_700113.pb.gz       :   2000 (  942, 324,  734),  55.2 :    +33,    7,  100.0

5976) weights_run2_590260.pb.gz 2051 :   6000 (+1474,=1073,-3453),  33.5 %

      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  107,   43, 1850),   6.4 :   -488,    8,    0.0
      weights_run2_590261.pb.gz       :   2000 (  743,  433,  824),  48.0 :    -23,    7,    0.0
      weights_run2_590259.pb.gz       :   2000 (  624,  597,  779),  46.1 :    -14,    7,    2.1

5977) weights_run2_590140.pb.gz 2051 :   6000 (+1643,=1213,-3144),  37.5 %

      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  103,   44, 1853),   6.3 :   -488,    8,    0.0
      weights_run2_590141.pb.gz       :   2000 (  677,  557,  766),  47.8 :    -13,    7,    4.4
      weights_run2_590139.pb.gz       :   2000 (  863,  612,  525),  58.5 :    +60,    7,  100.0

5978) weights_run2_590138.pb.gz 2051 :   6000 (+1675,=1324,-3001),  39.0 %

      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  100,   34, 1866),   5.8 :   -488,    8,    0.0
      weights_run2_590137.pb.gz       :   2000 (  682,  723,  595),  52.2 :    +18,    6,   99.8
      weights_run2_590139.pb.gz       :   2000 (  893,  567,  540),  58.8 :    +60,    7,  100.0

5979) weights_run2_58163.pb.gz  2051 :   6000 (+1889,=446,-3665),  35.2 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   87,  33, 1880),   5.2 :   -488,    9,    0.0
      weights_run2_58164.pb.gz        :   2000 (  916, 216,  868),  51.2 :     -2,    7,   36.5
      weights_run2_58162.pb.gz        :   2000 (  886, 197,  917),  49.2 :     +1,    7,   55.1

5980) weights_run2_590160.pb.gz 2051 :   6000 (+1705,=525,-3770),  32.8 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   88,  18, 1894),   4.8 :   -488,    7,    0.0
      weights_run2_590159.pb.gz       :   2000 (  819, 168, 1013),  45.1 :    -30,    6,    0.0
      weights_run2_590161.pb.gz       :   2000 (  798, 339,  863),  48.4 :    -22,    7,    0.1

5981) weights_run2_590371.pb.gz 2050 :   6000 (+1661,=733,-3606),  33.8 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   91,  25, 1884),   5.2 :   -489,    8,    0.0
      weights_run2_590372.pb.gz       :   2000 (  772, 299,  929),  46.1 :    -25,    7,    0.0
      weights_run2_590370.pb.gz       :   2000 (  798, 409,  793),  50.1 :     -6,    7,   20.7

5982) weights_run2_590337.pb.gz 2050 :   6000 (+1730,=1017,-3253),  37.3 %

      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  121,   68, 1811),   7.8 :   -489,    8,    0.0
      weights_run2_590336.pb.gz       :   2000 (  849,  366,  785),  51.6 :    +15,    7,   99.0
      weights_run2_590338.pb.gz       :   2000 (  760,  583,  657),  52.6 :    +28,    7,  100.0

5983) weights_run2_58162.pb.gz  2050 :   6000 (+1878,=440,-3682),  35.0 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  100,  21, 1879),   5.5 :   -489,    8,    0.0
      weights_run2_58161.pb.gz        :   2000 (  861, 222,  917),  48.6 :     -5,    7,   21.8
      weights_run2_58163.pb.gz        :   2000 (  917, 197,  886),  50.8 :     -1,    7,   44.9

5984) weights_run2_590143.pb.gz 2050 :   6000 (+1861,=807,-3332),  37.7 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   95,  28, 1877),   5.5 :   -489,    8,    0.0
      weights_run2_590144.pb.gz       :   2000 (  899, 313,  788),  52.8 :    +20,    8,   99.5
      weights_run2_590142.pb.gz       :   2000 (  867, 466,  667),  55.0 :    +32,    7,  100.0

5985) weights_run2_590230.pb.gz 2050 :   6000 (+2024,=449,-3527),  37.5 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   98,  23, 1879),   5.5 :   -489,    8,    0.0
      weights_run2_590231.pb.gz       :   2000 (  946, 218,  836),  52.8 :    +20,    7,   99.9
      weights_run2_590229.pb.gz       :   2000 (  980, 208,  812),  54.2 :    +27,    6,  100.0

5986) weights_run2_590339.pb.gz 2050 :   6000 (+1728,=1031,-3241),  37.4 %

